,LocationID,Borough,Zone,address,lat,lon
0,1,EWR,Newark Airport,"Newark Airport,EWR, New York",40.689064,-74.1772549
1,2,Queens,Jamaica Bay,"Jamaica Bay,Queens, New York",40.6039936,-73.8354124
2,3,Bronx,Allerton/Pelham Gardens,"Allerton/Pelham Gardens,Bronx, New York",,
3,4,Manhattan,Alphabet City,"Alphabet City,Manhattan, New York",40.7069642,-73.9904592
4,5,Staten Island,Arden Heights,"Arden Heights,Staten Island, New York",40.5636999,-74.1916032
5,6,Staten Island,Arrochar/Fort Wadsworth,"Arrochar/Fort Wadsworth,Staten Island, New York",40.6034031,-74.0668551
6,7,Queens,Astoria,"Astoria,Queens, New York",40.7720145,-73.9302673
7,8,Queens,Astoria Park,"Astoria Park,Queens, New York",40.7788277,-73.922658
8,9,Queens,Auburndale,"Auburndale,Queens, New York",40.7614516,-73.7897239
9,10,Queens,Baisley Park,"Baisley Park,Queens, New York",40.6759206,-73.7849649
10,11,Brooklyn,Bath Beach,"Bath Beach,Brooklyn, New York",40.5964509,-73.9946593
11,12,Manhattan,Battery Park,"Battery Park,Manhattan, New York",40.702786,-74.0157731
12,13,Manhattan,Battery Park City,"Battery Park City,Manhattan, New York",40.7078494,-74.0089818
13,14,Brooklyn,Bay Ridge,"Bay Ridge,Brooklyn, New York",40.6320062,-74.0232101
14,15,Queens,Bay Terrace/Fort Totten,"Bay Terrace/Fort Totten,Queens, New York",,
15,16,Queens,Bayside,"Bayside,Queens, New York",40.7631203,-73.7707449
16,17,Brooklyn,Bedford,"Bedford,Brooklyn, New York",40.7187387,-73.9569017
17,18,Bronx,Bedford Park,"Bedford Park,Bronx, New York",40.8700999,-73.8856912
18,19,Queens,Bellerose,"Bellerose,Queens, New York",40.7327778,-73.7177778
19,20,Bronx,Belmont,"Belmont,Bronx, New York",40.8493044,-73.8771379
20,21,Brooklyn,Bensonhurst East,"Bensonhurst East,Brooklyn, New York",,
21,22,Brooklyn,Bensonhurst West,"Bensonhurst West,Brooklyn, New York",,
22,23,Staten Island,Bloomfield/Emerson Hill,"Bloomfield/Emerson Hill,Staten Island, New York",,
23,24,Manhattan,Bloomingdale,"Bloomingdale,Manhattan, New York",40.7997764,-73.9677716
24,25,Brooklyn,Boerum Hill,"Boerum Hill,Brooklyn, New York",40.6856261,-73.9841707
25,26,Brooklyn,Borough Park,"Borough Park,Brooklyn, New York",40.633993,-73.9968059
26,27,Queens,Breezy Point/Fort Tilden/Riis Beach,"Breezy Point/Fort Tilden/Riis Beach,Queens, New York",,
27,28,Queens,Briarwood/Jamaica Hills,"Briarwood/Jamaica Hills,Queens, New York",,
28,29,Brooklyn,Brighton Beach,"Brighton Beach,Brooklyn, New York",40.5796437,-73.9611102
29,30,Queens,Broad Channel,"Broad Channel,Queens, New York",40.6080187,-73.8158007
30,31,Bronx,Bronx Park,"Bronx Park,Bronx, New York",40.8588468,-73.8759038
31,32,Bronx,Bronxdale,"Bronxdale,Bronx, New York",40.8493044,-73.8771379
32,33,Brooklyn,Brooklyn Heights,"Brooklyn Heights,Brooklyn, New York",40.6960849,-73.9950297
33,34,Brooklyn,Brooklyn Navy Yard,"Brooklyn Navy Yard,Brooklyn, New York",40.6997716,-73.9753359
34,35,Brooklyn,Brownsville,"Brownsville,Brooklyn, New York",40.665306,-73.9124755
35,36,Brooklyn,Bushwick North,"Bushwick North,Brooklyn, New York",,
36,37,Brooklyn,Bushwick South,"Bushwick South,Brooklyn, New York",40.6942867,-73.9258836
37,38,Queens,Cambria Heights,"Cambria Heights,Queens, New York",40.6945474,-73.7384653
38,39,Brooklyn,Canarsie,"Canarsie,Brooklyn, New York",40.643715,-73.9006921
39,40,Brooklyn,Carroll Gardens,"Carroll Gardens,Brooklyn, New York",40.6784201,-73.9948021
40,41,Manhattan,Central Harlem,"Central Harlem,Manhattan, New York",,
41,42,Manhattan,Central Harlem North,"Central Harlem North,Manhattan, New York",,
42,43,Manhattan,Central Park,"Central Park,Manhattan, New York",40.7827725,-73.9653627
43,44,Staten Island,Charleston/Tottenville,"Charleston/Tottenville,Staten Island, New York",,
44,45,Manhattan,Chinatown,"Chinatown,Manhattan, New York",40.7163793,-73.9962641
45,46,Bronx,City Island,"City Island,Bronx, New York",40.8474333,-73.7864295
46,47,Bronx,Claremont/Bathgate,"Claremont/Bathgate,Bronx, New York",,
47,48,Manhattan,Clinton East,"Clinton East,Manhattan, New York",40.7212687,-73.9836882
48,49,Brooklyn,Clinton Hill,"Clinton Hill,Brooklyn, New York",40.6897222,-73.9652778
49,50,Manhattan,Clinton West,"Clinton West,Manhattan, New York",40.7530239,-73.9995138
50,51,Bronx,Co-Op City,"Co-Op City,Bronx, New York",40.8741547,-73.8291695
51,52,Brooklyn,Cobble Hill,"Cobble Hill,Brooklyn, New York",40.687547,-73.9973352
52,53,Queens,College Point,"College Point,Queens, New York",40.7937011,-73.8530589
53,54,Brooklyn,Columbia Street,"Columbia Street,Brooklyn, New York",40.6814313,-74.0044261
54,55,Brooklyn,Coney Island,"Coney Island,Brooklyn, New York",40.5756208,-73.9813318
55,56,Queens,Corona,"Corona,Queens, New York",40.7469593,-73.8601456
